시점,공급량
1996-01-01,605519
1996-02-01,566323
1996-03-01,477514
1996-04-01,337797
1996-05-01,184522
1996-06-01,116416
1996-07-01,109474
1996-08-01,94736
1996-09-01,105143
1996-10-01,237249
1996-11-01,434413
1996-12-01,651230
1997-01-01,775522
1997-02-01,640683
1997-03-01,532435
1997-04-01,352435
1997-05-01,357484
1997-06-01,248334
1997-07-01,154617
1997-08-01,138050
1997-09-01,119715
1997-10-01,164985
1997-11-01,332390
1997-12-01,510747
1998-01-01,752219
1998-02-01,807493
1998-03-01,663455
1998-04-01,571545
1998-05-01,331872
1998-06-01,215061
1998-07-01,171457
1998-08-01,148578
1998-09-01,143551
1998-10-01,267633
1998-11-01,589639
1998-12-01,845802
1999-01-01,984487
1999-02-01,847927
1999-03-01,934345
1999-04-01,462060
1999-05-01,290920
1999-06-01,189179
1999-07-01,163166
1999-08-01,161284
1999-09-01,183081
1999-10-01,402061
1999-11-01,657325
1999-12-01,1027319
2000-01-01,1148336
2000-02-01,1082801
2000-03-01,847669
2000-04-01,548101
2000-05-01,350196
2000-06-01,206764
2000-07-01,181402
2000-08-01,179319
2000-09-01,239174
2000-10-01,416665
2000-11-01,763938
2000-12-01,1099623
2001-01-01,1368105
2001-02-01,1108879
2001-03-01,950504
2001-04-01,552465
2001-05-01,318955
2001-06-01,217625
2001-07-01,212416
2001-08-01,193381
2001-09-01,202370
2001-10-01,383573
2001-11-01,795997
2001-12-01,1246694
2002-01-01,1291199
2002-02-01,1066290
2002-03-01,890162
2002-04-01,551890
2002-05-01,386105
2002-06-01,251404
2002-07-01,235945
2002-08-01,237199
2002-09-01,264393
2002-10-01,559568
2002-11-01,1066576
2002-12-01,1293196
2003-01-01,1560357
2003-02-01,1176215
2003-03-01,1054488
2003-04-01,643963
2003-05-01,396910
2003-06-01,27845
2003-07-01,269741
2003-08-01,253603
2003-09-01,287316
2003-10-01,535197
2003-11-01,829249
2003-12-01,1369037
2004-01-01,1553307
2004-02-01,1300586
