date,all,family,public,service,civil_sum,argri_fishing,mining,manufac,ind_sum
1997-01-01,16224867,2814138,557379,3616542,6988059,301811,80421,8854576,9236808
1997-02-01,15363840,2788312,558610,3551611,6898533,327617,70471,8067220,8465308
1997-03-01,16094268,2555048,528672,3333225,6416945,345359,81877,9250086,9677322
1997-04-01,16266027,2629204,555354,3430624,6615182,292235,84596,9274014,9650845
1997-05-01,16028072,2525076,511468,3333483,6370027,302913,80963,9274169,9658045
1997-06-01,16465534,2545295,536842,3514613,6596750,450147,84923,9333713,9868783
1997-07-01,17202305,2631364,603677,4061955,7296996,302701,83924,9518685,9905310
1997-08-01,18298057,3034723,657678,4610675,8303076,411536,83296,9500149,9994981
1997-09-01,17597176,2873304,625651,4397640,7896595,371318,83822,9245440,9700580
1997-10-01,16867422,2606517,526297,3650633,6783447,307950,90643,9685382,10083975
1997-11-01,17217667,2714885,571731,3687640,6974256,473154,87852,9682404,10243410
1997-12-01,17158393,2797487,610843,3852251,7260581,289113,87332,9521367,9897812
1998-01-01,15800172,2805573,582849,3777655,7166077,316631,72114,8245349,8634094
1998-02-01,15414800,2820949,567980,3600225,6989154,330808,68842,8025997,8425647
1998-03-01,15621705,2700132,536653,3325284,6562069,324921,76603,8658113,9059637
1998-04-01,15708803,2605285,569459,3455175,6629919,295683,77871,8705330,9078884
1998-05-01,15626729,2637033,532698,3393120,6562851,294314,78413,8691151,9063878
1998-06-01,15786326,2579128,552387,3472327,6603842,423919,128049,8630515,9182483
1998-07-01,16176705,2632137,615474,3897449,7145060,303093,74064,8654488,9031645
1998-08-01,16609760,2830602,654583,4336453,7821638,366650,71829,8349643,8788122
1998-09-01,17254502,2924749,646374,4239392,7810515,346086,80369,9017532,9443987
1998-10-01,16032799,2831967,565800,3703630,7101397,315064,75531,8540807,8931402
1998-11-01,16462463,2744199,586378,3600647,6931224,406589,84398,9040251,9531238
1998-12-01,16975574,2800845,639147,3878525,7318517,299994,85316,9271747,9657057
1999-01-01,16857652,2897210,634454,4082079,7613743,341495,72429,8829986,9243910
1999-02-01,16034674,2973971,624352,4017336,7615659,363945,63029,7992041,8419015
1999-03-01,16826489,2857901,595159,3833634,7286694,382376,72312,9085108,9539796
1999-04-01,17172177,2804804,640548,3946234,7391586,324666,77456,9378469,9780591
1999-05-01,17014277,2773756,580887,3770762,7125405,325912,77883,9485078,9888873
1999-06-01,17698167,2707198,618858,4013577,7339633,484220,80571,9793742,10358533
1999-07-01,18391299,2754615,678651,4396654,7829920,357345,79246,10124788,10561379
1999-08-01,19013452,2964056,734423,4990385,8688864,454451,78649,9791488,10324588
1999-09-01,19117739,3134212,736811,4863217,8734240,404086,80259,9899154,10383499
