,DATE,RV,GAS_PRICE_IND,OIL_PRICE
0,1996-01-01,0.97,26.94,27.86
1,1996-02-01,0.93,26.94,29.04
2,1996-03-01,0.96,26.94,27.99
3,1996-04-01,0.94,26.94,28.74
4,1996-05-01,0.92,26.94,29.18
5,1996-06-01,0.94,26.94,28.73
6,1996-07-01,0.86,26.94,31.19
7,1996-08-01,0.83,26.94,32.55
8,1996-09-01,0.81,26.94,33.11
9,1996-10-01,0.79,26.94,34.17
10,1996-11-01,0.75,26.94,35.88
11,1996-12-01,0.74,26.94,36.3
12,1997-01-01,0.69,26.94,39.02
13,1997-02-01,0.68,26.94,39.43
14,1997-03-01,0.74,31.02,38.35
15,1997-04-01,0.81,31.02,38.13
16,1997-05-01,0.83,31.02,37.23
17,1997-06-01,0.82,31.02,37.77
18,1997-07-01,0.87,31.02,35.49
19,1997-08-01,0.89,31.02,34.88
20,1997-09-01,0.85,31.02,36.32
21,1997-10-01,0.84,31.02,36.88
22,1997-11-01,0.79,31.02,39.34
23,1997-12-01,0.63,39.86,62.8
24,1998-01-01,0.6,39.86,66.48
25,1998-02-01,0.63,45.3,71.9
26,1998-03-01,0.79,45.3,57.24
27,1998-04-01,0.8,45.3,56.9
28,1998-05-01,0.92,45.3,49.33
29,1998-06-01,0.93,45.3,48.77
30,1998-07-01,0.93,45.3,48.56
31,1998-08-01,0.94,45.3,48.44
32,1998-09-01,0.91,45.3,49.66
33,1998-10-01,0.81,42.51,52.75
34,1998-11-01,0.8,42.51,52.92
35,1998-12-01,0.85,42.51,50.28
36,1999-01-01,0.9,41.46,45.99
37,1999-02-01,0.91,41.46,45.48
38,1999-03-01,0.92,41.46,45.28
39,1999-04-01,0.81,38.56,47.57
40,1999-05-01,0.76,38.56,50.69
41,1999-06-01,0.75,38.07,50.66
42,1999-07-01,0.75,38.07,50.57
43,1999-08-01,0.73,38.07,51.99
44,1999-09-01,0.7,38.07,54.08
45,1999-10-01,0.72,41.78,58.37
46,1999-11-01,0.69,41.78,60.97
47,1999-12-01,0.69,41.78,60.23
48,2000-01-01,0.77,44.74,58.07
49,2000-02-01,0.77,44.74,58.24
50,2000-03-01,0.77,44.74,58.42
51,2000-04-01,0.77,44.74,57.94
52,2000-05-01,0.88,49.06,55.49
53,2000-06-01,0.82,49.06,59.67
54,2000-07-01,0.82,49.06,59.98
55,2000-08-01,0.79,49.06,62.02
56,2000-09-01,0.76,49.06,34.55
57,2000-10-01,0.77,52.65,68.11
58,2000-11-01,0.77,52.65,38.49
59,2000-12-01,0.77,52.65,38.58
60,2001-01-01,0.87,57.65,66.42
61,2001-02-01,0.88,57.65,65.88
62,2001-03-01,0.87,57.65,66.28
63,2001-04-01,0.9,60.56,67.18
64,2001-05-01,0.91,60.56,66.19
65,2001-06-01,0.91,60.56,66.19
66,2001-07-01,0.9,60.56,67.32
67,2001-08-01,0.92,60.56,65.7
68,2001-09-01,0.93,60.56,65.08
69,2001-10-01,0.93,60.56,65.23
70,2001-11-01,0.98,60.56,61.95
71,2001-12-01,1.02,59.64,58.45
72,2002-01-01,0.86,51.11,59.56
73,2002-02-01,0.85,51.11,60.08
74,2002-03-01,0.83,51.11,61.72
75,2002-04-01,0.79,51.11,64.61
76,2002-05-01,0.77,51.11,66.51
77,2002-06-01,0.77,51.11,66.25
78,2002-07-01,0.76,51.11,67.22
79,2002-08-01,0.77,51.11,66.76
80,2002-09-01,0.75,51.11,68.27
81,2002-10-01,0.71,51.11,71.66
82,2002-11-01,0.74,53.76,73.12
83,2002-12-01,0.75,53.76,71.34
84,2003-01-01,0.74,55.31,74.8
85,2003-02-01,0.72,55.31,76.7
86,2003-03-01,0.75,58.77,78.68
87,2003-04-01,0.8,58.77,73.07
88,2003-05-01,0.83,58.77,70.62
89,2003-06-01,0.85,58.77,69.27
90,2003-07-01,0.8,57.54,71.78
91,2003-08-01,0.8,57.54,72.27
92,2003-09-01,0.75,54.87,72.93
93,2003-10-01,0.75,54.87,73.11
94,2003-11-01,0.73,54.87,75.53
95,2003-12-01,0.71,54.87,77.42
96,2004-01-01,0.73,54.87,79.63
97,2004-02-01,0.72,54.87,80.85
98,2004-03-01,0.72,54.87,80.53
99,2004-04-01,0.72,54.87,80.87
100,2004-05-01,0.71,54.87,81.66
101,2004-06-01,0.7,54.87,82.16
102,2004-07-01,0.71,54.87,81.99
103,2004-08-01,0.68,54.87,85.11
104,2004-09-01,0.71,61.86,86.65
105,2004-10-01,0.7,61.86,88.39
