,date,CAP_TEMP_EF,DONGNAM_TEMP_EF,DAEGYUNG_TEMP_EF,CHOONG_TEMP_EF,HONAM_TEMP_EF,MEAN_TEMP_EF
0,1996-01,0.84711,5.91778,6.73765,3.33479,1.88651,3.7447680000000005
1,1996-02,0.8143,5.90875,6.73291,3.32638,1.87883,3.7322340000000005
2,1996-03,0.60731,5.81529,6.67634,3.22,1.7874,3.6212679999999997
3,1996-04,0.24132,5.71003,6.61264,3.07795,1.66054,3.460496
4,1996-05,-0.38328,5.67433,6.58956,3.02586,1.62083,3.30546
5,1996-06,-0.70081,5.63238,6.54333,2.9654,1.58217,3.2044940000000004
6,1996-07,-0.81068,5.59896,6.52853,2.93751,1.56448,3.16376
7,1996-08,-0.8656,5.57471,6.52978,2.94074,1.56549,3.149024
8,1996-09,-0.66947,5.6122,6.56536,2.97122,1.58408,3.2126779999999995
9,1996-10,-0.09905,5.67417,6.61426,3.0671,1.6426,3.3798160000000004
10,1996-11,0.50425,5.74181,6.65284,3.1574,1.70866,3.5529920000000006
11,1996-12,0.72614,5.9393,6.75288,3.364,1.90442,3.737348
12,1997-01,0.86639,5.8744,6.71688,3.30008,1.83445,3.71844
13,1997-02,0.76413,5.87605,6.71506,3.28897,1.83939,3.6967200000000005
14,1997-03,0.4826,5.79873,6.66794,3.19651,1.75551,3.5802579999999997
15,1997-04,0.03801,5.73145,6.62884,3.10179,1.67831,3.43568
16,1997-05,-0.29856,5.68172,6.5941,3.01163,1.61899,3.3215760000000003
17,1997-06,-0.71464,5.63967,6.55835,2.96889,1.58936,3.2083260000000005
18,1997-07,-0.84775,5.61369,6.55143,2.96058,1.57728,3.171046
19,1997-08,-0.89054,5.54832,6.50707,2.92492,1.55856,3.1296660000000003
20,1997-09,-0.51714,5.62953,6.58319,2.99379,1.60395,3.2586640000000004
21,1997-10,-0.02592,5.64383,6.59678,3.02919,1.62162,3.3731
22,1997-11,0.33534,5.72143,6.64987,3.14738,1.69358,3.5095199999999998
23,1997-12,0.69981,5.82056,6.7056,3.27711,1.81225,3.6630659999999997
24,1998-01,0.80812,5.8445,6.70743,3.29954,1.83425,3.698768
25,1998-02,0.64696,5.79976,6.68254,3.22926,1.77493,3.62669
26,1998-03,0.43459,5.78037,6.66293,3.18073,1.73654,3.5590320000000006
27,1998-04,-0.18694,5.71989,6.6248,3.09999,1.67773,3.387094
28,1998-05,-0.44176,5.66695,6.58613,3.01389,1.61612,3.2882659999999992
29,1998-06,-0.62455,5.63898,6.56191,2.9662,1.58776,3.2260600000000004
30,1998-07,-0.81997,5.61234,6.54565,2.94955,1.57319,3.172152
31,1998-08,-0.83259,5.56138,6.51356,2.93019,1.55973,3.146454
32,1998-09,-0.69687,5.61197,6.56939,2.97979,1.59108,3.211072
33,1998-10,-0.29939,5.66145,6.60959,3.05926,1.63724,3.3336300000000003
34,1998-11,0.39161,5.73698,6.65974,3.18554,1.7213,3.539034
35,1998-12,0.70666,5.80581,6.69624,3.26684,1.78558,3.6522259999999998
36,1999-01,0.78592,5.85549,6.72781,3.324,1.86064,3.7107719999999995
37,1999-02,0.75658,5.87584,6.73003,3.32506,1.86751,3.711004
38,1999-03,0.47376,5.76776,6.6583,3.16836,1.72929,3.5594939999999995
39,1999-04,-0.04029,5.70934,6.62026,3.07186,1.65573,3.40338
40,1999-05,-0.32671,5.6712,6.58651,3.01641,1.6178,3.3130420000000003
41,1999-06,-0.69242,5.64724,6.57823,2.98132,1.59244,3.221362
42,1999-07,-0.8326,5.5776,6.50597,2.93168,1.55704,3.147938
43,1999-08,-0.81382,5.58476,6.53391,2.94557,1.56417,3.1629180000000003
44,1999-09,-0.68731,5.61082,6.56108,2.97861,1.58268,3.2091760000000003
45,1999-10,-0.0893,5.65315,6.60139,3.05186,1.62469,3.3683579999999997
46,1999-11,0.37083,5.74321,6.6571,3.16958,1.71408,3.5309599999999994
47,1999-12,0.75676,5.82504,6.71085,3.27544,1.80662,3.674942
48,2000-01,0.83292,5.88571,6.74045,3.34078,1.86796,3.733564
49,2000-02,0.84322,5.79022,6.682,3.2413,1.77487,3.6663219999999996
50,2000-03,0.49727,5.76681,6.66015,3.18633,1.73675,3.569462
51,2000-04,0.11871,5.70571,6.61635,3.09144,1.66455,3.4393520000000004
52,2000-05,-0.31136,5.65902,6.57799,3.01391,1.60984,3.3098799999999997
53,2000-06,-0.71349,5.62822,6.55244,2.97173,1.58418,3.204616
54,2000-07,-0.84246,5.60725,6.54653,2.96166,1.57515,3.169626
55,2000-08,-0.81559,5.5859,6.53984,2.94704,1.56622,3.164682
56,2000-09,-0.55121,5.61428,6.56692,2.97725,1.58843,3.239134
57,2000-10,-0.12428,5.65645,6.60618,3.0476,1.62751,3.3626920000000005
58,2000-11,0.44463,5.75281,6.6601,3.17217,1.71727,3.549396
59,2000-12,0.7323,5.85125,6.72109,3.30455,1.83124,3.6880860000000006
60,2001-01,0.86393,5.9039,6.75077,3.36038,1.88112,3.7520199999999995
61,2001-02,0.78707,5.84109,6.70762,3.27094,1.80808,3.68296
62,2001-03,0.54876,5.79714,6.67464,3.20775,1.74479,3.5946160000000007
63,2001-04,-0.01845,5.74056,6.64168,3.12809,1.69148,3.436672
64,2001-05,-0.43603,5.67257,6.59003,3.02102,1.6184,3.2931980000000003
65,2001-06,-0.66678,5.62223,6.54389,2.95848,1.58246,3.208056
66,2001-07,-0.81259,5.58144,6.5251,2.93387,1.56499,3.158562
67,2001-08,-0.80739,5.54435,6.50152,2.92145,1.55133,3.142252
68,2001-09,-0.64305,5.5938,6.55667,2.97406,1.58335,3.212966
69,2001-10,-0.26271,5.66284,6.61142,3.06767,1.64416,3.3446759999999998
70,2001-11,0.43271,5.74595,6.66278,3.18131,1.72942,3.550434
71,2001-12,0.79981,5.85855,6.72794,3.30651,1.84071,3.7067040000000007
72,2002-01,0.73625,5.98749,6.783,3.41925,1.96999,3.7791959999999998
73,2002-02,0.67082,5.82957,6.70089,3.2742,1.82632,3.66036
74,2002-03,0.40147,5.80607,6.67596,3.2231,1.7833,3.57798
75,2002-04,-0.03105,5.72015,6.62718,3.10366,1.67999,3.419986
76,2002-05,-0.37652,5.6719,6.59452,3.01533,1.61507,3.3040600000000007
77,2002-06,-0.62522,5.6295,6.54971,2.96527,1.58473,3.220798
78,2002-07,-0.77106,5.58336,6.52468,2.93477,1.56359,3.167068
79,2002-08,-0.74206,5.57473,6.53089,2.9342,1.56695,3.172942
80,2002-09,-0.59816,5.60483,6.56092,2.98077,1.58838,3.227348
81,2002-10,0.00335,5.66983,6.61572,3.07546,1.64492,3.401856
82,2002-11,0.60148,5.71339,6.64668,3.11457,1.68123,3.5514699999999997
83,2002-12,0.6788,5.86612,6.72037,3.299,1.84086,3.68103
84,2003-01,0.82811,5.90268,6.73785,3.33752,1.88083,3.737398
85,2003-02,0.6804,5.90359,6.73848,3.32773,1.88446,3.7069319999999997
86,2003-03,0.46499,5.78947,6.6686,3.20157,1.76151,3.5772280000000003
87,2003-04,-0.00537,5.7109,6.61942,3.08516,1.66814,3.4156500000000003
88,2003-05,-0.45145,5.65455,6.5846,2.99591,1.60709,3.2781400000000005
89,2003-06,-0.5958,5.62773,6.56175,2.95437,1.58412,3.226434
90,2003-07,-0.7109,5.56347,6.51556,2.92921,1.56319,3.1721060000000003
91,2003-08,-0.73066,5.54783,6.51036,2.92199,1.55372,3.160648
