Year,All,Seoul,Busan,Daegu,Incheon,Gwangju,Daejeon,Ulsan,Sejong,Gyeonggi,Gangwon,Chungbuk,Chungnam,Jeonbuk,Jeonnam,Gyeongbuk,Gyeongnam,Jeju
1995,846210,0.0169,0.0453,0.0277,0.0453,0.027,0.0112,0.0067,0.0,0.0354,0.0074,0.0068,0.0037,0.0134,0.0136,0.0083,0.0322,0.0009
1996,1148783,0.0327,0.0593,0.0386,0.0512,0.0359,0.0134,0.009,0.0,0.0527,0.012,0.0096,0.0101,0.0192,0.0169,0.0125,0.0375,0.0009
1997,1451356,0.0485,0.0733,0.0495,0.057,0.0448,0.0157,0.0114,0.0,0.07,0.0166,0.0125,0.0164,0.0249,0.0202,0.0167,0.0427,0.0009
1998,1753949,0.0643,0.0874,0.0605,0.0629,0.0537,0.0179,0.0137,0.0,0.0873,0.0212,0.0153,0.0228,0.0307,0.0235,0.0209,0.048,0.0009
1999,1981778,0.0971,0.0932,0.0633,0.0664,0.0594,0.0209,0.0157,0.0,0.1039,0.0243,0.0163,0.0263,0.0335,0.025,0.0246,0.0506,0.0014
2000,2209607,0.13,0.099,0.0662,0.0699,0.0652,0.024,0.0176,0.0,0.1205,0.0275,0.0172,0.0299,0.0363,0.0264,0.0283,0.0532,0.0018
2001,2437439,0.1628,0.1049,0.0691,0.0735,0.0709,0.027,0.0196,0.0,0.1371,0.0307,0.0182,0.0334,0.039,0.0279,0.0319,0.0558,0.0023
2002,2636926,0.1952,0.1055,0.0755,0.0774,0.0743,0.0283,0.0219,0.0,0.1508,0.0328,0.0192,0.0362,0.0416,0.03,0.0338,0.0595,0.0025
2003,2836414,0.2277,0.1062,0.0819,0.0814,0.0778,0.0296,0.0242,0.0,0.1646,0.0349,0.0201,0.0391,0.0441,0.032,0.0357,0.0632,0.0028
2004,3035901,0.2602,0.1069,0.0883,0.0854,0.0813,0.0309,0.0265,0.0,0.1784,0.037,0.0211,0.0419,0.0467,0.034,0.0376,0.0669,0.003
2005,3265332,0.2794,0.1193,0.095,0.0927,0.0865,0.0345,0.0289,0.0,0.1924,0.0401,0.0231,0.0455,0.0486,0.0357,0.0399,0.0708,0.0033
2006,3494765,0.2987,0.1318,0.1017,0.1,0.0918,0.038,0.0313,0.0,0.2063,0.0432,0.025,0.0491,0.0506,0.0373,0.0423,0.0747,0.0036
2007,3724196,0.3179,0.1443,0.1084,0.1074,0.0971,0.0416,0.0336,0.0,0.2203,0.0463,0.027,0.0527,0.0526,0.039,0.0446,0.0786,0.0038
2008,3877671,0.3279,0.149,0.1143,0.1099,0.0993,0.0422,0.0359,0.0,0.2298,0.0485,0.0284,0.0559,0.0541,0.0404,0.0478,0.0826,0.0039
2009,4031150,0.338,0.1537,0.1201,0.1124,0.1015,0.0427,0.0383,0.0,0.2393,0.0507,0.0299,0.0592,0.0556,0.0419,0.0509,0.0866,0.004
2010,4184625,0.348,0.1585,0.126,0.1149,0.1037,0.0433,0.0406,0.0,0.2488,0.0529,0.0313,0.0624,0.0572,0.0433,0.0541,0.0906,0.0041
2011,4288514,0.3606,0.1639,0.1296,0.116,0.1044,0.0445,0.0419,0.0,0.2557,0.0538,0.0317,0.0632,0.0586,0.0449,0.0553,0.0923,0.0045
2012,4400268,0.3731,0.1694,0.1333,0.1172,0.105,0.0457,0.0431,0.0026,0.2627,0.0548,0.0321,0.064,0.0601,0.0464,0.0565,0.0941,0.0049
2013,4504778,0.3857,0.1748,0.137,0.1183,0.1057,0.0469,0.0444,0.0028,0.2697,0.0558,0.0324,0.0648,0.0615,0.0479,0.0577,0.0959,0.0053
2014,4640181,0.3937,0.1793,0.1442,0.1187,0.1088,0.0473,0.0463,0.003,0.2757,0.057,0.0347,0.0673,0.0637,0.0499,0.0605,0.099,0.0058
2015,4775583,0.4016,0.1838,0.1515,0.119,0.112,0.0477,0.0481,0.0032,0.2817,0.0581,0.0369,0.0697,0.0658,0.0519,0.0632,0.1022,0.0062
2016,4910986,0.4096,0.1882,0.1588,0.1194,0.1152,0.0482,0.05,0.0034,0.2877,0.0593,0.0392,0.0722,0.0679,0.0538,0.066,0.1053,0.0067
2017,5068313,0.4158,0.1932,0.1639,0.1202,0.1181,0.0497,0.0527,0.0034,0.2929,0.0607,0.0425,0.0773,0.0696,0.0554,0.0712,0.1093,0.0069
2018,5285616,0.425,0.2024,0.1692,0.1209,0.1197,0.0518,0.0543,0.0039,0.3067,0.066,0.048,0.0823,0.0724,0.0561,0.0752,0.115,0.0072
2019,5463010,0.4344,0.211,0.173,0.1225,0.1226,0.0527,0.0581,0.004,0.3141,0.0707,0.0511,0.0842,0.0755,0.0575,0.0792,0.1198,0.0072
2020,5640404,0.4437,0.2196,0.1768,0.124,0.1254,0.0537,0.0619,0.0042,0.3216,0.0753,0.0542,0.0861,0.0786,0.0589,0.0833,0.1247,0.0073
