,date,CAP_TEMP_EF,DONGNAM_TEMP_EF,DAEGYUNG_TEMP_EF,CHOONG_TEMP_EF,HONAM_TEMP_EF
0,1996-01,0.84711,5.91778,6.73765,3.33479,1.88651
1,1996-02,0.8143,5.90875,6.73291,3.32638,1.87883
2,1996-03,0.60731,5.81529,6.67634,3.22,1.7874
3,1996-04,0.24132,5.71003,6.61264,3.07795,1.66054
4,1996-05,-0.38328,5.67433,6.58956,3.02586,1.62083
5,1996-06,-0.70081,5.63238,6.54333,2.9654,1.58217
6,1996-07,-0.81068,5.59896,6.52853,2.93751,1.56448
7,1996-08,-0.8656,5.57471,6.52978,2.94074,1.56549
8,1996-09,-0.66947,5.6122,6.56536,2.97122,1.58408
9,1996-10,-0.09905,5.67417,6.61426,3.0671,1.6426
10,1996-11,0.50425,5.74181,6.65284,3.1574,1.70866
11,1996-12,0.72614,5.9393,6.75288,3.364,1.90442
12,1997-01,0.86639,5.8744,6.71688,3.30008,1.83445
13,1997-02,0.76413,5.87605,6.71506,3.28897,1.83939
14,1997-03,0.4826,5.79873,6.66794,3.19651,1.75551
15,1997-04,0.03801,5.73145,6.62884,3.10179,1.67831
16,1997-05,-0.29856,5.68172,6.5941,3.01163,1.61899
17,1997-06,-0.71464,5.63967,6.55835,2.96889,1.58936
18,1997-07,-0.84775,5.61369,6.55143,2.96058,1.57728
19,1997-08,-0.89054,5.54832,6.50707,2.92492,1.55856
20,1997-09,-0.51714,5.62953,6.58319,2.99379,1.60395
21,1997-10,-0.02592,5.64383,6.59678,3.02919,1.62162
22,1997-11,0.33534,5.72143,6.64987,3.14738,1.69358
23,1997-12,0.69981,5.82056,6.7056,3.27711,1.81225
24,1998-01,0.80812,5.8445,6.70743,3.29954,1.83425
25,1998-02,0.64696,5.79976,6.68254,3.22926,1.77493
26,1998-03,0.43459,5.78037,6.66293,3.18073,1.73654
27,1998-04,-0.18694,5.71989,6.6248,3.09999,1.67773
28,1998-05,-0.44176,5.66695,6.58613,3.01389,1.61612
29,1998-06,-0.62455,5.63898,6.56191,2.9662,1.58776
30,1998-07,-0.81997,5.61234,6.54565,2.94955,1.57319
31,1998-08,-0.83259,5.56138,6.51356,2.93019,1.55973
32,1998-09,-0.69687,5.61197,6.56939,2.97979,1.59108
33,1998-10,-0.29939,5.66145,6.60959,3.05926,1.63724
34,1998-11,0.39161,5.73698,6.65974,3.18554,1.7213
35,1998-12,0.70666,5.80581,6.69624,3.26684,1.78558
36,1999-01,0.78592,5.85549,6.72781,3.324,1.86064
37,1999-02,0.75658,5.87584,6.73003,3.32506,1.86751
38,1999-03,0.47376,5.76776,6.6583,3.16836,1.72929
39,1999-04,-0.04029,5.70934,6.62026,3.07186,1.65573
40,1999-05,-0.32671,5.6712,6.58651,3.01641,1.6178
41,1999-06,-0.69242,5.64724,6.57823,2.98132,1.59244
42,1999-07,-0.8326,5.5776,6.50597,2.93168,1.55704
43,1999-08,-0.81382,5.58476,6.53391,2.94557,1.56417
44,1999-09,-0.68731,5.61082,6.56108,2.97861,1.58268
45,1999-10,-0.0893,5.65315,6.60139,3.05186,1.62469
46,1999-11,0.37083,5.74321,6.6571,3.16958,1.71408
47,1999-12,0.75676,5.82504,6.71085,3.27544,1.80662
48,2000-01,0.83292,5.88571,6.74045,3.34078,1.86796
49,2000-02,0.84322,5.79022,6.682,3.2413,1.77487
50,2000-03,0.49727,5.76681,6.66015,3.18633,1.73675
51,2000-04,0.11871,5.70571,6.61635,3.09144,1.66455
52,2000-05,-0.31136,5.65902,6.57799,3.01391,1.60984
