시점,호수 (호),서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원도,충청북도,충청남도,전라북도,전라남도,경상북도,경상남도,제주도
1995,827249,24527,79464,54815,100093,65792,29433,18961,0,115726,25769,25231,14384,54061,56838,35472,141661,3983
1998,1753949,93389,153225,119828,138891,130894,47285,38961,0,285204,74037,57084,88326,123769,98149,89693,211056,4158
2001,2437439,236216,183917,136922,162337,172789,71128,55455,0,447520,107134,67632,129503,157346,116934,136983,245427,10196
2004,3035901,377647,187444,175023,188649,198051,81486,75303,0,582511,129304,78700,162435,188095,142222,161281,294163,13587
2007,3724196,461386,253094,214890,237264,236681,109745,95337,0,719339,161885,100388,204469,211930,163181,191386,345987,17234
2010,4184625,505120,277920,249672,253852,252792,114186,115093,0,812279,184732,116584,241924,230477,181269,231958,398465,18302
2013,4504778,559769,306672,271415,261426,257595,123678,125928,8493,880696,194893,120798,251356,248003,200613,247489,421973,23981
2016,4910986,594472,330170,314657,263821,280741,126974,141795,10359,939325,207372,145956,279858,273844,225208,283061,463383,29990
2017,5068313,603497,338906,324724,265584,287898,131009,149424,10406,956494,212301,158433,299562,280714,231990,305159,481159,31053
2018,5285616,616848,355085,335368,267064,291800,136469,154047,11844,1001419,230600,178870,318943,291676,234848,322460,505880,32395
2019,5463010,630414,370089,342903,270567,298779,139000,164797,12294,1025794,246940,190411,326338,304197,240699,339831,527310,32647
