Year,Month,AT,LT,HT,,,,
1996,1,0.0047635294117647,-0.189310588235294,0.240528235294118,0,0.313828480392157,0.10868862745098,0.554787303921569
1996,2,0.00770764705882353,-0.226982352941176,0.372690588235294,0,0,0,0
1996,3,0.137972352941176,-0.0456311764705882,0.367738823529412,0,0,0,0
1996,4,0.26191,0.0294564705882353,0.582131764705882,0,0,0,0
1996,5,0.428758823529412,0.242891764705882,0.688457647058824,0,0,0,0
1996,6,0.520022352941177,0.389187058823529,0.717235294117647,0,0,0,0
1996,7,0.596192941176471,0.423853529411765,0.810264117647059,0,0,0,0
1996,8,0.63432,0.477368235294118,0.829271764705882,0,0,0,0
1996,9,0.527151176470588,0.32791,0.702526470588235,0,0,0,0
1996,10,0.375821764705882,0.0965717647058823,0.584698823529412,0,0,0,0
1996,11,0.199595294117647,-0.0664158823529412,0.429978235294118,0,0,0,0
1996,12,0.0717258823529412,-0.154635294117647,0.331925882352941,0,0,0,0
1997,1,-0.0230882352941177,-0.301584117647059,0.303878235294118,0,0.417369901960784,0.160522352941176,0.709962254901961
1997,2,0.0709164705882353,-0.155784705882353,0.442114117647059,0,0,0,0
1997,3,0.231187058823529,-0.0242588235294118,0.559394705882353,0,0,0,0
1997,4,0.396735882352941,0.125717058823529,0.690134705882353,0,0,0,0
1997,5,0.541060588235294,0.291958823529412,0.818184117647059,0,0,0,0
1997,6,0.696075882352941,0.455240588235294,0.948715294117647,0,0,0,0
1997,7,0.779295882352941,0.589952352941176,1.01330058823529,0,0,0,0
1997,8,0.805171176470588,0.650214705882353,1.00893470588235,0,0,0,0
1997,9,0.639301764705882,0.394071176470588,0.958707647058824,0,0,0,0
1997,10,0.454500588235294,0.0834388235294118,0.768751176470588,0,0,0,0
1997,11,0.311721176470588,0.00851117647058823,0.59929,0,0,0,0
1997,12,0.105560588235294,-0.191208823529412,0.408141764705882,0,0,0,0
1998,1,0.0235482352941176,-0.342738823529412,0.309988235294118,0,0.534631176470588,0.248838382352941,0.860312598039216
1998,2,0.169231176470588,-0.158347058823529,0.564794705882353,0,0,0,0
1998,3,0.30011,0.0159594117647059,0.719165882352941,0,0,0,0
1998,4,0.572450588235294,0.178549411764706,0.95642,0,0,0,0
1998,5,0.69607,0.443434117647059,1.05367176470588,0,0,0,0
1998,6,0.780273529411765,0.525625294117647,1.07855529411765,0,0,0,0
1998,7,0.925930588235294,0.773568235294118,1.16942470588235,0,0,0,0
1998,8,0.955320588235294,0.764984117647059,1.16753294117647,0,0,0,0
1998,9,0.857974705882353,0.609010588235294,1.15344058823529,0,0,0,0
1998,10,0.655079411764706,0.326477058823529,0.927835294117647,0,0,0,0
1998,11,0.331729411764706,-0.0124852941176471,0.729145294117647,0,0,0,0
1998,12,0.147855882352941,-0.137976470588235,0.493776470588235,0,0,0,0
1999,1,0.0453694117647059,-0.27532,0.421120588235294,0,0.580761666666667,0.278343823529412,0.915972843137255
1999,2,0.101736470588235,-0.297840588235294,0.448767647058823,0,0,0,0
1999,3,0.312185294117647,-0.0357941176470588,0.669424117647059,0,0,0,0
1999,4,0.576301176470588,0.228099411764706,1.03084823529412,0,0,0,0
1999,5,0.750288235294118,0.500245882352941,1.10081176470588,0,0,0,0
1999,6,0.948896470588235,0.757371176470588,1.27920470588235,0,0,0,0
1999,7,1.05076117647059,0.848928235294118,1.32052352941176,0,0,0,0
1999,8,1.08253058823529,0.892744705882353,1.34619588235294,0,0,0,0
1999,9,0.980422941176471,0.710110588235294,1.24803764705882,0,0,0,0
1999,10,0.641190588235294,0.251495882352941,0.983542941176471,0,0,0,0
1999,11,0.382824705882353,0.0143223529411765,0.705463529411765,0,0,0,0
1999,12,0.0966329411764706,-0.254237647058824,0.437733529411765,0,0,0,0
2000,1,0.0113476470588235,-0.325373529411765,0.431654117647059,0,0.636295735294118,0.333854362745098,1.00877220588235
2000,2,0.00296470588235294,-0.306412352941176,0.331828235294118,0,0,0,0
2000,3,0.333079411764706,-0.0395011764705882,0.752708235294118,0,0,0,0
2000,4,0.586408235294118,0.226187647058824,0.975485882352941,0,0,0,0
2000,5,0.838328823529412,0.552529411764706,1.32479176470588,0,0,0,0
2000,6,1.07052764705882,0.812485882352941,1.40475,0,0,0,0
2000,7,1.26068647058824,1.04610117647059,1.52354764705882,0,0,0,0
2000,8,1.25763529411765,1.07556823529412,1.51410470588235,0,0,0,0
2000,9,0.994124705882353,0.738501176470588,1.34374352941176,0,0,0,0
2000,10,0.751766470588235,0.403825294117647,1.11379058823529,0,0,0,0
2000,11,0.394421764705882,0.0534529411764706,0.83998705882353,0,0,0,0
2000,12,0.134257647058824,-0.231112352941176,0.548874705882353,0,0,0,0
2001,1,-0.0756452941176471,-0.544305294117647,0.246145294117647,0,0.718349264705882,0.394054509803922,1.10682602941176
2001,2,0.091644705882353,-0.23394,0.557015294117647,0,0,0,0
2001,3,0.336557058823529,-0.00241882352941175,0.925054705882353,0,0,0,0
2001,4,0.721862352941176,0.310580588235294,1.20530764705882,0,0,0,0
2001,5,1.00507941176471,0.693633529411765,1.42964294117647,0,0,0,0
2001,6,1.18260176470588,0.927209411764706,1.53443647058824,0,0,0,0
2001,7,1.38997882352941,1.16391117647059,1.68056176470588,0,0,0,0
2001,8,1.40267647058824,1.11988235294118,1.69729941176471,0,0,0,0
2001,9,1.17783470588235,0.789647647058824,1.48138647058824,0,0,0,0
2001,10,0.888515882352941,0.583457647058824,1.21698764705882,0,0,0,0
2001,11,0.427908235294118,0.0913152941176471,0.804762941176471,0,0,0,0
2001,12,0.0711770588235294,-0.170319411764706,0.503311764705882,0,0,0,0
2002,1,0.105887647058824,-0.273814117647059,0.626668823529412,0,0.769485539215686,0.466399215686275,1.20607343137255
2002,2,0.188051764705882,-0.124411176470588,0.584472941176471,0,0,0,0
2002,3,0.485655294117647,0.101651764705882,0.957738235294118,0,0,0,0
2002,4,0.808085294117647,0.504374705882353,1.30991529411765,0,0,0,0
2002,5,1.01315588235294,0.743037647058824,1.42593,0,0,0,0
2002,6,1.26389176470588,0.983451764705882,1.65051117647059,0,0,0,0
2002,7,1.44784117647059,1.27949529411765,1.82852411764706,0,0,0,0
2002,8,1.40906294117647,1.22121647058824,1.77641411764706,0,0,0,0
2002,9,1.22966,0.956137647058823,1.61573705882353,0,0,0,0
2002,10,0.796552941176471,0.31626,1.20136294117647,0,0,0,0
2002,11,0.315694705882353,0.0299835294117647,0.867819411764706,0,0,0,0
2002,12,0.170287058823529,-0.140592941176471,0.62778705882353,0,0,0,0
2003,1,-0.0761517647058824,-0.49468,0.332452352941177,0,0.826071029411765,0.489848676470588,1.2197987254902
2003,2,0.199455294117647,-0.162787058823529,0.526032352941177,0,0,0,0
2003,3,0.423185294117647,0.0735129411764706,0.949198235294118,0,0,0,0
2003,4,0.825841176470588,0.497707647058824,1.33481882352941,0,0,0,0
2003,5,1.15898823529412,0.72707705882353,1.52283470588235,0,0,0,0
2003,6,1.34094764705882,1.07691529411765,1.66877764705882,0,0,0,0
2003,7,1.44551529411765,1.28894529411765,1.76794470588235,0,0,0,0
2003,8,1.52086470588235,1.29270941176471,1.81248647058824,0,0,0,0
2003,9,1.35087411764706,1.02605823529412,1.68697470588235,0,0,0,0
2003,10,0.918141176470588,0.546332352941177,1.33234764705882,0,0,0,0
2003,11,0.657305294117647,0.172594705882353,1.11342176470588,0,0,0,0
2003,12,0.147885882352941,-0.166201764705882,0.590295294117647,0,0,0,0
2004,1,-0.0189494117647059,-0.545136470588235,0.289960588235294,0,0.930574607843137,0.582055245098039,1.39419960784314
2004,2,0.238621764705882,-0.0921164705882353,0.909384705882353,0,0,0,0
2004,3,0.470691176470588,-0.0134505882352941,1.04552647058824,0,0,0,0
2004,4,0.900437058823529,0.517954705882353,1.49360588235294,0,0,0,0
2004,5,1.19351529411765,0.861434117647059,1.61333235294118,0,0,0,0
2004,6,1.51580411764706,1.14130705882353,1.88727294117647,0,0,0,0
2004,7,1.70520764705882,1.53331411764706,2.12499764705882,0,0,0,0
2004,8,1.74269117647059,1.48678823529412,2.10022235294118,0,0,0,0
2004,9,1.46212882352941,1.17334470588235,1.81390764705882,0,0,0,0
2004,10,1.03807647058824,0.650190588235294,1.42591647058824,0,0,0,0
2004,11,0.671191176470588,0.351678235294118,1.21940411764706,0,0,0,0
2004,12,0.24748,-0.0806452941176472,0.806864117647059,0,0,0,0
2005,1,-0.0575564705882353,-0.387350588235294,0.427057647058824,0,0.93037931372549,0.577513382352941,1.43842617647059
2005,2,-0.0158717647058824,-0.387944117647059,0.448966470588235,0,0,0,0
2005,3,0.373155294117647,-0.0115829411764706,0.986501764705882,0,0,0,0
2005,4,0.986151764705882,0.588822941176471,1.71249588235294,0,0,0,0
2005,5,1.28061470588235,0.920984705882353,1.75553117647059,0,0,0,0
2005,6,1.64534705882353,1.31398882352941,2.0673,0,0,0,0
2005,7,1.83237117647059,1.61542882352941,2.21431294117647,0,0,0,0
2005,8,1.85624294117647,1.58956352941176,2.22016882352941,0,0,0,0
2005,9,1.62000823529412,1.32424764705882,2.05359764705882,0,0,0,0
2005,10,1.10677588235294,0.616718235294118,1.53207941176471,0,0,0,0
2005,11,0.68154,0.268304117647059,1.30419764705882,0,0,0,0
2005,12,-0.144227058823529,-0.521020588235294,0.538904705882353,0,0,0,0
2006,1,0.0882576470588236,-0.366542941176471,0.569027058823529,0,1.05291779411765,0.651477303921569,1.53463397058824
2006,2,0.110583529411765,-0.494928823529412,0.615994705882353,0,0,0,0
2006,3,0.485758235294118,-0.0909652941176471,1.00308764705882,0,0,0,0
2006,4,0.918725294117647,0.581577647058824,1.52204058823529,0,0,0,0
2006,5,1.39302941176471,1.03344705882353,1.91446117647059,0,0,0,0
2006,6,1.68931941176471,1.43126470588235,2.13249352941177,0,0,0,0
2006,7,1.82577941176471,1.60939647058824,2.27542882352941,0,0,0,0
2006,8,2.11990235294118,1.83705705882353,2.49150647058824,0,0,0,0
2006,9,1.62285352941176,1.29751529411765,2.05176352941176,0,0,0,0
2006,10,1.40696705882353,0.982905882352941,1.82883529411765,0,0,0,0
2006,11,0.755157647058824,0.355974705882353,1.32358941176471,0,0,0,0
2006,12,0.21868,-0.358974117647059,0.687379411764706,0,0,0,0
2007,1,0.143561176470588,-0.187747058823529,0.634727647058824,0,1.14894205882353,0.747628039215686,1.63972549019608
2007,2,0.409086470588235,-0.119265882352941,0.891761764705882,0,0,0,0
2007,3,0.598004705882353,-0.0230023529411765,1.12901352941176,0,0,0,0
2007,4,0.999974705882353,0.531849411764706,1.58729764705882,0,0,0,0
2007,5,1.50819882352941,1.17370764705882,2.06416117647059,0,0,0,0
2007,6,1.85611235294118,1.55519117647059,2.29171470588235,0,0,0,0
2007,7,1.99462941176471,1.77460235294118,2.43275,0,0,0,0
2007,8,2.20848352941177,1.85207764705882,2.55478882352941,0,0,0,0
2007,9,1.81196764705882,1.54977352941176,2.27369647058824,0,0,0,0
2007,10,1.31250647058824,0.801248823529412,1.77830176470588,0,0,0,0
2007,11,0.664053529411765,0.100356470588235,1.19697647058823,0,0,0,0
2007,12,0.280725882352941,-0.0372552941176471,0.841515882352941,0,0,0,0
2008,1,0.0161476470588235,-0.484192941176471,0.499167647058823,0,1.17551431372549,0.712069901960784,1.70779171568627
2008,2,0.0193705882352941,-0.385355294117647,0.677714705882353,0,0,0,0
2008,3,0.673358235294118,0.258251764705882,1.28134176470588,0,0,0,0
2008,4,1.19412941176471,0.775381176470588,1.84847411764706,0,0,0,0
2008,5,1.54446529411765,1.08596352941176,2.17061294117647,0,0,0,0
2008,6,1.82609294117647,1.46617941176471,2.29939176470588,0,0,0,0
2008,7,2.24660882352941,1.95314176470588,2.65504705882353,0,0,0,0
2008,8,2.18901764705882,1.88000529411765,2.60456941176471,0,0,0,0
2008,9,1.93510823529412,1.30288235294118,2.34103941176471,0,0,0,0
